                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.98499,                0.44897,                 1.1044,                0.98211,                0.95779,                0.98317,                0.70602,                    1.1,                0.37064,                 1.1408,               0.006634,               0.006634,               0.006634
                     37,                0.98332,                0.44566,                 1.1025,                0.97437,                0.96308,                0.98337,                0.70645,                 1.0965,                0.36917,                 1.1392,               0.006535,               0.006535,               0.006535
                     38,                0.97823,                0.44176,                 1.1009,                0.97969,                0.96295,                 0.9839,                 0.7081,                 1.0966,                0.36718,                 1.1391,               0.006436,               0.006436,               0.006436
                     39,                0.97342,                0.44163,                 1.0976,                0.97097,                0.97278,                0.98493,                0.70819,                 1.0993,                0.36745,                 1.1401,               0.006337,               0.006337,               0.006337
                     40,                0.97191,                 0.4396,                 1.0933,                0.98229,                0.96283,                0.98546,                0.70915,                 1.0993,                0.36744,                 1.1405,               0.006238,               0.006238,               0.006238
                     41,                 0.9695,                0.43696,                 1.0951,                0.97545,                0.96897,                0.98492,                0.70993,                  1.098,                0.36582,                   1.14,               0.006139,               0.006139,               0.006139
                     42,                0.96816,                0.43484,                 1.0961,                0.97999,                0.96471,                 0.9855,                0.70976,                 1.0997,                0.36397,                  1.142,                0.00604,                0.00604,                0.00604
                     43,                0.96115,                0.43416,                 1.0898,                0.98002,                 0.9665,                0.98611,                0.71068,                 1.0989,                0.36385,                 1.1418,               0.005941,               0.005941,               0.005941
                     44,                0.95322,                0.42774,                 1.0876,                0.97728,                0.96717,                0.98592,                 0.7117,                 1.0992,                 0.3627,                 1.1418,               0.005842,               0.005842,               0.005842
                     45,                0.95967,                0.42963,                 1.0866,                0.97861,                0.96573,                0.98534,                0.71085,                 1.0979,                0.36246,                 1.1405,               0.005743,               0.005743,               0.005743
                     46,                0.95371,                0.42778,                 1.0807,                0.97953,                 0.9651,                0.98535,                0.71075,                 1.0978,                0.36272,                 1.1393,               0.005644,               0.005644,               0.005644
                     47,                0.94672,                0.42105,                 1.0746,                0.97863,                0.96529,                0.98501,                0.70957,                 1.0977,                0.36115,                  1.139,               0.005545,               0.005545,               0.005545
                     48,                0.94225,                 0.4199,                 1.0787,                0.97815,                 0.9661,                0.98505,                0.71024,                 1.0977,                0.36077,                  1.139,               0.005446,               0.005446,               0.005446
                     49,                0.94113,                0.41659,                 1.0812,                0.98243,                0.96248,                0.98561,                0.71085,                 1.0968,                0.35943,                  1.139,               0.005347,               0.005347,               0.005347
                     50,                 0.9379,                0.41909,                 1.0769,                 0.9732,                0.97186,                0.98605,                0.71064,                 1.0974,                0.35919,                 1.1395,               0.005248,               0.005248,               0.005248
                     51,                0.92736,                0.40848,                  1.074,                0.97498,                 0.9688,                0.98624,                0.71092,                 1.0974,                 0.3584,                 1.1393,               0.005149,               0.005149,               0.005149
                     52,                0.92727,                 0.4114,                 1.0703,                 0.9794,                0.96717,                 0.9866,                0.71138,                 1.0976,                0.35872,                 1.1394,                0.00505,                0.00505,                0.00505
                     53,                0.92447,                0.41037,                 1.0683,                0.97815,                0.96717,                0.98673,                0.71107,                 1.0975,                0.35833,                 1.1393,               0.004951,               0.004951,               0.004951
                     54,                 0.9154,                0.40113,                 1.0639,                0.97758,                0.96764,                0.98679,                0.71086,                 1.0975,                0.35758,                 1.1395,               0.004852,               0.004852,               0.004852
                     55,                0.91413,                  0.401,                 1.0669,                0.97818,                0.96744,                0.98638,                 0.7112,                 1.0972,                0.35708,                 1.1392,               0.004753,               0.004753,               0.004753
                     56,                0.91885,                0.40456,                 1.0694,                0.97767,                0.96519,                0.98592,                0.71156,                 1.0977,                0.35787,                 1.1395,               0.004654,               0.004654,               0.004654
                     57,                 0.9076,                0.39785,                 1.0628,                0.97777,                 0.9667,                0.98528,                0.71105,                 1.0975,                0.35743,                 1.1396,               0.004555,               0.004555,               0.004555
                     58,                0.91395,                0.39739,                 1.0647,                0.97771,                0.96698,                0.98549,                0.71151,                 1.0978,                0.35685,                 1.1401,               0.004456,               0.004456,               0.004456
                     59,                0.90027,                0.39316,                 1.0569,                0.97772,                0.96731,                0.98546,                 0.7119,                 1.0983,                0.35711,                 1.1402,               0.004357,               0.004357,               0.004357
                     60,                0.90121,                0.39558,                 1.0544,                0.97754,                0.96717,                0.98706,                0.71202,                 1.0989,                0.35716,                 1.1406,               0.004258,               0.004258,               0.004258
                     61,                 0.8921,                 0.3913,                 1.0557,                0.97591,                0.96891,                0.98764,                 0.7123,                  1.099,                0.35719,                 1.1409,               0.004159,               0.004159,               0.004159
                     62,                0.89125,                0.39101,                  1.053,                0.97814,                0.96533,                0.98793,                0.71208,                 1.0992,                0.35682,                 1.1413,                0.00406,                0.00406,                0.00406
                     63,                0.88779,                0.38056,                 1.0517,                0.97862,                0.96599,                0.98841,                0.71256,                 1.0991,                0.35661,                 1.1411,               0.003961,               0.003961,               0.003961
                     64,                0.89529,                0.38887,                 1.0647,                0.97501,                0.96998,                 0.9881,                 0.7129,                 1.0991,                 0.3562,                 1.1412,               0.003862,               0.003862,               0.003862
                     65,                0.89961,                0.38967,                 1.0596,                0.97548,                0.97026,                0.98762,                0.71248,                 1.0993,                  0.356,                 1.1415,               0.003763,               0.003763,               0.003763
                     66,                0.87253,                0.37302,                 1.0443,                0.97548,                0.97013,                0.98814,                0.71253,                 1.0991,                0.35605,                 1.1417,               0.003664,               0.003664,               0.003664
                     67,                0.88467,                0.38281,                 1.0557,                0.97549,                0.97092,                0.98811,                0.71254,                 1.0994,                 0.3563,                 1.1418,               0.003565,               0.003565,               0.003565
                     68,                0.88976,                0.38424,                 1.0543,                0.97548,                0.97027,                0.98842,                0.71251,                 1.0994,                0.35587,                 1.1417,               0.003466,               0.003466,               0.003466
                     69,                0.88404,                0.38025,                 1.0552,                0.97501,                0.96998,                0.98839,                0.71267,                 1.0995,                0.35613,                 1.1419,               0.003367,               0.003367,               0.003367
                     70,                0.88421,                0.37976,                 1.0508,                0.97502,                0.97026,                0.98832,                0.71296,                 1.1003,                0.35605,                 1.1425,               0.003268,               0.003268,               0.003268
                     71,                0.85001,                0.36221,                  1.034,                0.97504,                  0.971,                0.98834,                0.71232,                 1.1001,                0.35571,                 1.1424,               0.003169,               0.003169,               0.003169
